"Identifiant de la publication","Lien permanent","Message de publication",Type,Pays,Langues,Publié,"Ciblage d’audience","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
447103548968697_1307645912914452,https://www.facebook.com/refyld/posts/1307645912914452,"Depuis des années, nous militons et entreprenons pour tenter de construire de nouveaux récits. ⁠⠀
Refyld est l’aboutissement d’un long travail sur la piste d’une consommation meilleure pour soi et pour la planète, où la question du choix entre qualités, valeurs et prix juste, ne se pose plus.⁠⠀
⁠⠀
🔜⁠ Rendez-vous le mercredi 28 octobre, pour tout savoir.⁠⠀
⁠⠀
#refyld #cestquedubonheur #meganouveaute #comingsoon ⁠⠀
Photo by @ryanlowry",Photo,,,"10/05/2020 02:11:20 AM"," ",13802,402,13363,18592,455,18137,204,191,209,1,1,322,268,18,15,15,0,0,0,0,0,0,0,0,0,0,13,3,,14,3,,40,158,,,42,167,,,1,,1,
447103548968697_1304995783179465,https://www.facebook.com/refyld/posts/1304995783179465,"Tout a commencé il y a plus de 3 ans, nous partons rencontrer celles et ceux qui font le changement et questionner notre (sur)consommation pour réaliser Aujourd'hui pour Demain - Le film
⁠
Nous interrogeons notre rapport à l’alimentation, à la mode, aux objets qui nous entourent... En fait, nous tirons le fil qui, depuis quelques années, ne nous a jamais quittés : par où commencer ?⁠
⁠
La suite vous la connaissez. ⁠
⁠
On lance Hello Néo il y a un an &amp; aujourd'hui on passe une nouvelle étape en vous présentant Refyld.⁠
⁠
🔜⁠ Rendez-vous le mercredi 28 octobre, pour tout savoir.⁠
⁠
#refyld #cestquedubonheur #meganouveaute #comingsoon",Photo,,,"10/02/2020 02:04:41 AM"," ",831,831,0,940,940,0,90,49,56,3,3,532,470,0,0,75,0,0,0,0,0,0,0,0,0,0,52,6,1,60,7,1,16,36,,,16,40,,,1,2,1,2
447103548968697_1303581329987577,https://www.facebook.com/refyld/posts/1303581329987577,"Il est temps de vous annoncer une 📣GRANDE NOUVELLE📣
- 𝘙𝘰𝘶𝘭𝘦𝘮𝘦𝘯𝘵 𝘥𝘦 𝘵𝘢𝘮𝘣𝘰𝘶𝘳𝘴, 3, 2, 1…
⁠
Hello Néo change de nom et devient 𝗥𝗘𝗙𝗬𝗟𝗗.⁠

Depuis hier soir, vous avez été nombreux.ses à trouver notre nouveau nom. 👏
⁠
Pour être transparents avec vous, en 4 ans d'entrepreneuriat - 3 ans à réaliser un documentaire sur nos modes de consommation et 1 an avec Hello Néo on a compris une chose et pas des moindres : ce qu’on aime faire et ce qu’on sait faire, c’est 𝗱𝗲́𝗺𝗼𝗰𝗿𝗮𝘁𝗶𝘀𝗲𝗿 𝗹𝗮 𝗰𝗼𝗻𝘀𝗼𝗺𝗺𝗮𝘁𝗶𝗼𝗻 𝗿𝗲𝘀𝗽𝗼𝗻𝘀𝗮𝗯𝗹𝗲 pour la rendre accessible à tous.tes. 

Mais il n’empêche que, malgré tous nos efforts, certains freins persistent et tout le monde ne peut pas encore bénéficier de produits bons pour soi comme pour la planète au quotidien. ⁠
⁠
Alors, 𝗻𝗼𝘂𝘀 𝗮𝘃𝗼𝗻𝘀 𝗱𝗲́𝗰𝗶𝗱𝗲́ 𝗱'𝗮𝗹𝗹𝗲𝗿 𝗲𝗻𝗰𝗼𝗿𝗲 𝗽𝗹𝘂𝘀 𝗹𝗼𝗶𝗻 pour initier des changements rapides et profonds pour un meilleur futur.
Et on vous dévoile tout ça MERCREDI 28 OCTOBRE. 

⁠Vous nous suivez ? 💛
⁠
Sincèrement, ⁠
La team 𝗥𝗘𝗙𝗬𝗟𝗗",Photo,,,"09/30/2020 09:00:35 AM"," ",1194,1194,0,1409,1409,0,117,81,89,1,1,617,489,0,0,73,0,0,0,0,0,0,0,0,0,0,53,9,3,60,9,4,8,73,,,8,81,,,1,,1,
447103548968697_1301710153508028,https://www.facebook.com/refyld/posts/1301710153508028,"Bientôt... On prend le meilleur de notre dernière année avec Hello Néo et on vous présente, enfin, notre grande #nouveauté qui répond à un enjeu plus grand que nous &amp; qui s'adresse à tous.tes. 
👉 En attendant, ce mercredi on vous dévoile notre nouveau nom. 🥳
#J30 #comingsoon #meganouveauté #biggerthanus",Photo,,,"09/28/2020 07:33:04 AM"," ",328,328,0,363,363,0,8,4,4,1,1,258,226,0,0,7,0,0,0,0,0,0,0,0,0,0,6,1,,6,1,,2,2,,,2,2,,,1,,1,
447103548968697_1299980580347652,https://www.facebook.com/refyld/posts/1299980580347652,"👉 NOTRE SITE EST DE RETOUR

Si vous ne le savez pas encore, notre site est de retour après quelques jours de maintenance. 

Pour nous excuser de ce désagrément on vous offre -15% sur votre prochaine commande avec le code : ZERODECHET. 
Et c'est valable jusqu'à ce soir minuit. 🙃",Photo,,,"09/26/2020 09:27:44 AM"," ",383,383,0,437,437,0,12,5,6,1,1,325,280,0,0,9,0,0,0,0,0,0,0,0,0,0,6,2,,6,2,,3,3,,,3,3,,,1,,1,
447103548968697_1298746343804409,https://www.facebook.com/refyld/posts/1298746343804409,"ACCROCHEZ VOUS ! 🥳 
 
On change de NOM. Oui de nom. 

Mais pas de vision. Si le nom change, notre vision, elle, reste intacte. 

On vous le dévoile mercredi prochain, mais en attendant vous pouvez tenter de le deviner... Notre nouveau nom se compose de 6 lettres et on vous donne la première. À vous de jouer :  
👉 R _ _ _ _ _  🥳",Photo,,,"09/25/2020 01:29:56 AM"," ",753,753,0,925,925,0,87,71,98,1,1,586,463,0,0,71,0,0,0,0,0,0,0,0,0,0,22,5,5,25,5,10,9,68,,,9,89,,,1,,1,
447103548968697_1294212984257745,https://www.facebook.com/refyld/posts/1294212984257745,"Petit message technique — Notre site a subi une mauvaise manipulation ces derniers jours. 🔧⁠
⁠
On est sur le coup et on répare rapidement le souci. 💪⁠
⁠
Merci encore à toutes celles et ceux qui nous ont écrit avec bienveillance. 💛 ⁠
Quand on est une toute jeune entreprise et que parfois, certaines choses ont décidé de ne pas fonctionner - lire vos messages de soutien nous touche énormément et surtout, nous donne la patate pour continuer à vous proposer des choses encore mieux. #lesmeilleurscestvous #merci⁠
⁠
D'ailleurs, notre grande nouveauté arrive très prochainement... Fin septembre. #onahate 🥳🤩⁠
⁠
#helloneo #slowlife #slowsunday #smallbusiness #comingsoon #gogreen #sunday #weekend  #sustainability #green #sustainableliving⁠
photo #pinterest",Photo,,,"09/20/2020 02:03:29 AM"," ",414,414,0,469,469,0,13,11,13,2,2,346,303,0,0,10,0,0,0,0,0,0,0,0,0,0,4,2,1,4,2,1,2,9,,,2,11,,,2,,2,
447103548968697_1290627164616327,https://www.facebook.com/refyld/posts/1290627164616327,"🎥 BANDE ANNONCE Aujourd'hui pour Demain - Le film 🎥 ⁠
⁠
Un film documentaire sur les actions positives d’une génération qui s’engage aujourd’hui pour demain. ⁠
⁠
🌱 Nous sommes tous dans le même bateau et nous devons faire avancer les choses dans le bon sens.⁠
⁠
Alors plus vous serez nombreux à regarder les intervenants que nous avons choisi de vous présenter, plus le documentaire sera un levier important pour décider chacun d'entre nous à s'impliquer dans la transition écologique — et si notre #documentaire peut contribuer à changer un petit peu les choses, on peut le dire : on ne sera pas peu fiers :) 

Alors #PARTAGEZ !",Link,,,"09/16/2020 02:05:02 AM"," ",531,531,0,658,658,0,60,35,59,1,1,245,175,0,0,38,0,0,0,0,0,0,0,0,0,0,34,13,4,47,14,5,,13,29,,,26,33,,1,,1,
447103548968697_1288942504784793,https://www.facebook.com/refyld/posts/1288942504784793,"Le couteau suisse de votre trousse de toilette, c'est lui.⁠
⁠
Ce baume multi-usages est capable de résumer TOUTE votre routine beauté à lui seul : soin du visage, corps, pointes de cheveux, démaquillant yeux, mains, lèvres, barbe… Il sera votre allié en toute occasion. ⁠
⁠
Formulé avec 7 ingrédients naturels seulement, il convient à tout le monde et à tous les types de peau. Vous ne pourrez plus vous passer de ses nombreuses vertus.⁠
⁠
— Baume nature ou coco, dispo sur notre boutique 🔗",Photo,,,"09/14/2020 01:18:25 AM"," ",424,424,0,484,484,0,19,12,12,2,2,417,366,0,0,19,0,0,0,0,0,0,0,0,0,0,7,,,7,,,3,9,,,3,9,,,2,,2,
447103548968697_1286286605050383,https://www.facebook.com/refyld/posts/1286286605050383,"C'est le moment pour profiter des dernières pépites #zérodéchet de l'été ! ✨ ⁠
⁠
Nous vous offrons 30% de réduction sur votre prochaine commande, avec le code HELLO30. ⁠
⁠
— Valable jusqu'à dimanche minuit sur helloneo.fr🔗",Photo,,,"09/11/2020 12:34:45 AM"," ",553,553,0,620,620,0,21,10,15,2,2,248,220,0,0,14,0,0,0,0,0,0,0,0,0,0,11,7,,11,7,,5,6,,,5,10,,,2,,2,
447103548968697_1283025105376533,https://www.facebook.com/refyld/posts/1283025105376533,"Vous en êtes où côté lessive ? ⁠
 Nous on a opté pour une routine lessive #clean :⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
✓ sans plastique ⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
✓ sans produit chimique ⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
✓ et surtout, sans prise de tête. ⠀⠀⠀⠀⠀⠀⁠
⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
— Lessive liquide ou en poudre, dispo sur helloneo.fr",Photo,,,"09/07/2020 06:38:38 AM"," ",279,279,0,297,297,0,7,3,5,2,2,245,227,0,0,7,0,0,0,0,0,0,0,0,0,0,4,,,4,,,2,2,,,2,3,,,2,,2,
447103548968697_1281096888902688,https://www.facebook.com/refyld/posts/1281096888902688,"Tout est dit sur l'image. On a rien à rajouter. 😉⁠
— Rendez-vous sur helloneo.fr jusqu’à demain soir🔗 lien dans la bio.⁠
⁠
#zerowaste #zerodechet #zerowastelife  #ecofriendly #plasticfree #sustainable #sustainableliving #zerowastehome #livraisonofferte #backtoschool",Photo,,,"09/05/2020 02:04:09 AM"," ",224,224,0,243,243,0,6,4,5,0,0,200,183,0,0,5,0,0,0,0,0,0,0,0,0,0,2,,,2,,,2,3,,,2,3,,,,,,
447103548968697_1270913683254342,https://www.facebook.com/refyld/posts/1270913683254342,"☼ FOOD ☼

Pour renouer avec une alimentation durable, Aurore Vigouroux, notre nouvelle rédactrice, vous partage quelques réflexes simples à adopter. 👇",Link,,,"09/02/2020 02:19:25 AM"," ",180,180,0,188,188,0,6,3,3,1,1,150,142,0,0,6,0,0,0,0,0,0,0,0,0,0,4,,,4,,,,1,2,,,1,2,,1,,1,
447103548968697_1251589505186760,https://www.facebook.com/refyld/posts/1251589505186760,"☼ NOUVELLE ÉTAPE ☼  

Que les choses sérieuses commencent :⁠ on vous dévoile bientôt notre grande nouveauté. #comingsoon⁠ 
Pour connaître la date de lancement, inscrivez ici : 👇",,,,"09/01/2020 01:00:53 AM"," ",157,157,0,166,166,0,3,3,3,1,1,133,124,0,0,3,0,0,0,0,0,0,0,0,0,0,1,,,1,,,,,3,,,,3,,1,,1,
447103548968697_1251545248524519,https://www.facebook.com/refyld/posts/1251545248524519,"☼ NOUVELLE ÉTAPE ☼  

Tout a commencé il y a 3 ans, nous partons réaliser un documentaire (@aujourdhuipourdemainfilm) pour comprendre notre (sur)consommation et rencontrer celles et ceux qui font le changement. Nous interrogeons notre rapport à l’alimentation, à la mode, aux objets qui nous entourent... En fait, nous tirons le fil qui, depuis quelques années, ne nous a jamais quittés : par où commencer ?⁠ 🤔⁠
⁠
Depuis des années, nous militons pour un monde meilleur, mais jamais nous n’avions rassemblé nos sujets de prédilection dans un seul et même endroit. Notre grande #nouveauté est l’aboutissement d’un long travail sur la piste d’une consommation meilleure pour soi et la planète, où la question du choix entre qualités, valeurs et prix juste, ne se pose plus.⁠
⁠
On a hâte de vous partager notre nouvelle grande étape. 🎉⁠
⁠
#comingsoon #newproject #nouvelleetape #startup #engagement #letsgoo",Photo,,,"08/30/2020 01:00:45 AM"," ",343,343,0,378,378,0,21,9,11,1,1,282,256,0,0,16,0,0,0,0,0,0,0,0,0,0,15,2,,18,2,,1,8,,,1,10,,,1,,1,
447103548968697_1270897773255933,https://www.facebook.com/refyld/posts/1270897773255933,"☼ CHRONIQUE ☼

L’écologie est une démarche globale qui peut parfois intimider voire en décourager certain.es. Et si on y allait pas à pas ? Voici quelques pistes de réflexions pour ceux qui ne savent pas par où commencer. 👇",Link,,,"08/28/2020 03:00:02 AM"," ",218,218,0,236,236,0,12,7,8,1,1,202,186,0,0,10,0,0,0,0,0,0,0,0,0,0,7,2,,7,2,,,1,6,,,2,6,,1,,1,
447103548968697_1270896843256026,https://www.facebook.com/refyld/posts/1270896843256026,"☼ CHRONIQUE ☼

Vous entendez un peu partout que votre emballage est biodégradable ou compostable ! Vous vous dites que c’est chouette car vous achetez du plastique qui n’aura aucun impact sur l’environnement ? Détrompez-vous, on fait le point. 👇",Link,,,"08/25/2020 02:00:13 AM"," ",208,208,0,221,221,0,12,8,8,1,1,167,158,0,0,10,0,0,0,0,0,0,0,0,0,0,6,3,,6,3,,,,8,,,,8,,1,,1,
447103548968697_1251541271858250,https://www.facebook.com/refyld/posts/1251541271858250,"☼ FAIRE AUTREMENT ☼  

Aujourd'hui, prenons les choses sous un autre angle, parce qu'il est largement le temps de s’y mettre ! ⁣⁠
⁠
Lâchez les enseignes industrielles comme Starbucks and co'. Prenez un mug réutilisable, un sac filet et une gourde et commencez à faire le tri de toutes les enseignes où vous avez l'habitudes de consommer. Faites des choix, triez, changez, et surtout projetez-vous dans une semaine, un mois, dix ans.⁠
⁠⁣⁠
Peu importe si vous y arrivez en un jour ou en plusieurs mois, le principal est de le faire. ⁠
⁠
Chez Hello Néo c’est comme ça que l’on commence, on fait le tri et on agit ! 🤛⁣

Mug réutilisable dispo ici : https://bit.ly/3k0rSCi⁠
⁣",Photo,,,"08/24/2020 08:00:48 AM"," ",352,352,0,385,385,0,15,7,8,1,1,220,197,0,0,9,0,0,0,0,0,0,0,0,0,0,7,4,1,7,4,1,3,2,2,,3,3,2,,1,,1,
447103548968697_1251538448525199,https://www.facebook.com/refyld/posts/1251538448525199,"☼ NOUVELLE ÉTAPE ☼  

Ça avance, ça avance…🤓 ⁠
⁠
Finaliser un nouveau projet en plein mois d’août est normalement une très mauvaise idée, MAIS, c'est sans compter sur des partenaires incroyablement efficaces ! ⁠
⁠
Il est bientôt l'heure de vous dévoiler notre grande nouveauté. 🙌 🚀⁠ On compte les jours avant de pouvoir tout vous partager⁠.⁠
⁠
En attendant, rendez-vous ici : https://bit.ly/3k5lcms pour être informé en avant-première de ce projet incroyable (oui, oui on y croît) et connaître la date de lancement.",Photo,,,"08/23/2020 02:00:47 AM"," ",126,126,0,133,133,0,6,5,7,1,1,92,86,0,0,5,0,0,0,0,0,0,0,0,0,0,4,2,,4,2,,,1,5,,,2,5,,1,,1,
447103548968697_1251528585192852,https://www.facebook.com/refyld/posts/1251528585192852,"☼ ETE2020⁠ ☼  

Ce code vous permet de bénéficier de -15% sur votre prochaine commande. Il est valable jusqu'à mercredi prochain, aka le 26 août. ⁠
⁠
Une façon de commencer tout doucement de nouvelles habitudes #zérodéchet, les pieds dans le sable #oupas et de se projeter tranquillement sur les 6 prochains mois.  🤗⁠
⁠
— Rendez-vous sur WWW.HELLONEO.FR pour l'utiliser.",Photo,,,"08/21/2020 01:00:05 AM"," ",198,198,0,230,230,0,6,2,2,1,1,184,154,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,,6,1,,,2,,,,2,,,1,,1,
447103548968697_1251527381859639,https://www.facebook.com/refyld/posts/1251527381859639,"☼ MENSTRUATIONS ZÉRO DÉCHET ☼  

Parmi nos meilleurs conseils pour réduire les déchets, on cite souvent l'utilisation de la coupe menstruelle : sans latex, sans phtalates, sans BPA (bisphénol A), ni agents blanchissants, sans parfum... Elle est sans danger pour la santé, douce et facile à nettoyer ! ⁠
⁠
— 3 modèles différents sont dispo sur l'eshop : https://bit.ly/2DzmPI8",Photo,,,"08/18/2020 10:00:34 AM"," ",224,224,0,246,246,0,7,3,3,1,1,172,157,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,,3,1,,1,1,1,,1,1,1,,1,,1,
447103548968697_1251525311859846,https://www.facebook.com/refyld/posts/1251525311859846,"☼ BIEN-ÊTRE ☼  

La pierre ponce, l'incontournable de nos salles de bains... Et de l'été, pour des pieds en bonne santé ! ☀️⁠

Dispo ici 👉 https://bit.ly/2Pl4ktK",Photo,,,"08/16/2020 12:00:42 AM"," ",204,204,0,224,224,0,4,2,2,2,2,205,186,0,0,4,0,0,0,0,0,0,0,0,0,0,2,,,2,,,2,,,,2,,,,2,,2,
