,Date,Reach,Amount of Reach,Impressions,Amount of Impressions,Day,Day of the Week,Week,Month,Year
286,2020-12-10,Daily Paid Reach,0,Daily Organic impressions,855,10,Thursday,50,December,2020
287,2020-12-10,Daily Paid Reach,0,Daily Paid Impressions,0,10,Thursday,50,December,2020
288,2020-12-11,Daily Organic Reach,328,Daily Organic impressions,463,11,Friday,50,December,2020
289,2020-12-11,Daily Organic Reach,328,Daily Paid Impressions,0,11,Friday,50,December,2020
290,2020-12-11,Daily Paid Reach,0,Daily Organic impressions,463,11,Friday,50,December,2020
291,2020-12-11,Daily Paid Reach,0,Daily Paid Impressions,0,11,Friday,50,December,2020
292,2020-12-12,Daily Organic Reach,143,Daily Organic impressions,233,12,Saturday,50,December,2020
293,2020-12-12,Daily Organic Reach,143,Daily Paid Impressions,0,12,Saturday,50,December,2020
294,2020-12-12,Daily Paid Reach,0,Daily Organic impressions,233,12,Saturday,50,December,2020
295,2020-12-12,Daily Paid Reach,0,Daily Paid Impressions,0,12,Saturday,50,December,2020
296,2020-12-13,Daily Organic Reach,80,Daily Organic impressions,121,13,Sunday,50,December,2020
297,2020-12-13,Daily Organic Reach,80,Daily Paid Impressions,0,13,Sunday,50,December,2020
298,2020-12-13,Daily Paid Reach,0,Daily Organic impressions,121,13,Sunday,50,December,2020
299,2020-12-13,Daily Paid Reach,0,Daily Paid Impressions,0,13,Sunday,50,December,2020
300,2020-12-14,Daily Organic Reach,258,Daily Organic impressions,350,14,Monday,51,December,2020
301,2020-12-14,Daily Organic Reach,258,Daily Paid Impressions,0,14,Monday,51,December,2020
302,2020-12-14,Daily Paid Reach,0,Daily Organic impressions,350,14,Monday,51,December,2020
303,2020-12-14,Daily Paid Reach,0,Daily Paid Impressions,0,14,Monday,51,December,2020
304,2020-12-15,Daily Organic Reach,287,Daily Organic impressions,333,15,Tuesday,51,December,2020
305,2020-12-15,Daily Organic Reach,287,Daily Paid Impressions,0,15,Tuesday,51,December,2020
306,2020-12-15,Daily Paid Reach,0,Daily Organic impressions,333,15,Tuesday,51,December,2020
307,2020-12-15,Daily Paid Reach,0,Daily Paid Impressions,0,15,Tuesday,51,December,2020
308,2020-12-16,Daily Organic Reach,65,Daily Organic impressions,181,16,Wednesday,51,December,2020
309,2020-12-16,Daily Organic Reach,65,Daily Paid Impressions,0,16,Wednesday,51,December,2020
310,2020-12-16,Daily Paid Reach,0,Daily Organic impressions,181,16,Wednesday,51,December,2020
311,2020-12-16,Daily Paid Reach,0,Daily Paid Impressions,0,16,Wednesday,51,December,2020
312,2020-12-17,Daily Organic Reach,39,Daily Organic impressions,93,17,Thursday,51,December,2020
313,2020-12-17,Daily Organic Reach,39,Daily Paid Impressions,0,17,Thursday,51,December,2020
314,2020-12-17,Daily Paid Reach,0,Daily Organic impressions,93,17,Thursday,51,December,2020
315,2020-12-17,Daily Paid Reach,0,Daily Paid Impressions,0,17,Thursday,51,December,2020
316,2020-12-18,Daily Organic Reach,225,Daily Organic impressions,317,18,Friday,51,December,2020
317,2020-12-18,Daily Organic Reach,225,Daily Paid Impressions,0,18,Friday,51,December,2020
318,2020-12-18,Daily Paid Reach,0,Daily Organic impressions,317,18,Friday,51,December,2020
319,2020-12-18,Daily Paid Reach,0,Daily Paid Impressions,0,18,Friday,51,December,2020
320,2020-12-19,Daily Organic Reach,70,Daily Organic impressions,117,19,Saturday,51,December,2020
321,2020-12-19,Daily Organic Reach,70,Daily Paid Impressions,0,19,Saturday,51,December,2020
322,2020-12-19,Daily Paid Reach,0,Daily Organic impressions,117,19,Saturday,51,December,2020
323,2020-12-19,Daily Paid Reach,0,Daily Paid Impressions,0,19,Saturday,51,December,2020
324,2020-12-20,Daily Organic Reach,30,Daily Organic impressions,82,20,Sunday,51,December,2020
325,2020-12-20,Daily Organic Reach,30,Daily Paid Impressions,0,20,Sunday,51,December,2020
326,2020-12-20,Daily Paid Reach,0,Daily Organic impressions,82,20,Sunday,51,December,2020
327,2020-12-20,Daily Paid Reach,0,Daily Paid Impressions,0,20,Sunday,51,December,2020
328,2020-12-21,Daily Organic Reach,312,Daily Organic impressions,325,21,Monday,52,December,2020
329,2020-12-21,Daily Organic Reach,312,Daily Paid Impressions,0,21,Monday,52,December,2020
330,2020-12-21,Daily Paid Reach,0,Daily Organic impressions,325,21,Monday,52,December,2020
331,2020-12-21,Daily Paid Reach,0,Daily Paid Impressions,0,21,Monday,52,December,2020
332,2020-12-22,Daily Organic Reach,57,Daily Organic impressions,63,22,Tuesday,52,December,2020
333,2020-12-22,Daily Organic Reach,57,Daily Paid Impressions,0,22,Tuesday,52,December,2020
334,2020-12-22,Daily Paid Reach,0,Daily Organic impressions,63,22,Tuesday,52,December,2020
335,2020-12-22,Daily Paid Reach,0,Daily Paid Impressions,0,22,Tuesday,52,December,2020
336,2020-12-23,Daily Organic Reach,39,Daily Organic impressions,56,23,Wednesday,52,December,2020
337,2020-12-23,Daily Organic Reach,39,Daily Paid Impressions,0,23,Wednesday,52,December,2020
338,2020-12-23,Daily Paid Reach,0,Daily Organic impressions,56,23,Wednesday,52,December,2020
339,2020-12-23,Daily Paid Reach,0,Daily Paid Impressions,0,23,Wednesday,52,December,2020
340,2020-12-24,Daily Organic Reach,26,Daily Organic impressions,49,24,Thursday,52,December,2020
341,2020-12-24,Daily Organic Reach,26,Daily Paid Impressions,0,24,Thursday,52,December,2020
342,2020-12-24,Daily Paid Reach,0,Daily Organic impressions,49,24,Thursday,52,December,2020
343,2020-12-24,Daily Paid Reach,0,Daily Paid Impressions,0,24,Thursday,52,December,2020
344,2020-12-25,Daily Organic Reach,229,Daily Organic impressions,251,25,Friday,52,December,2020
345,2020-12-25,Daily Organic Reach,229,Daily Paid Impressions,0,25,Friday,52,December,2020
346,2020-12-25,Daily Paid Reach,0,Daily Organic impressions,251,25,Friday,52,December,2020
347,2020-12-25,Daily Paid Reach,0,Daily Paid Impressions,0,25,Friday,52,December,2020
348,2020-12-26,Daily Organic Reach,68,Daily Organic impressions,99,26,Saturday,52,December,2020
349,2020-12-26,Daily Organic Reach,68,Daily Paid Impressions,0,26,Saturday,52,December,2020
350,2020-12-26,Daily Paid Reach,0,Daily Organic impressions,99,26,Saturday,52,December,2020
351,2020-12-26,Daily Paid Reach,0,Daily Paid Impressions,0,26,Saturday,52,December,2020
352,2020-12-27,Daily Organic Reach,52,Daily Organic impressions,110,27,Sunday,52,December,2020
353,2020-12-27,Daily Organic Reach,52,Daily Paid Impressions,0,27,Sunday,52,December,2020
354,2020-12-27,Daily Paid Reach,0,Daily Organic impressions,110,27,Sunday,52,December,2020
355,2020-12-27,Daily Paid Reach,0,Daily Paid Impressions,0,27,Sunday,52,December,2020
356,2020-12-28,Daily Organic Reach,26,Daily Organic impressions,28,28,Monday,53,December,2020
357,2020-12-28,Daily Organic Reach,26,Daily Paid Impressions,0,28,Monday,53,December,2020
358,2020-12-28,Daily Paid Reach,0,Daily Organic impressions,28,28,Monday,53,December,2020
359,2020-12-28,Daily Paid Reach,0,Daily Paid Impressions,0,28,Monday,53,December,2020
360,2020-12-29,Daily Organic Reach,58,Daily Organic impressions,91,29,Tuesday,53,December,2020
361,2020-12-29,Daily Organic Reach,58,Daily Paid Impressions,0,29,Tuesday,53,December,2020
362,2020-12-29,Daily Paid Reach,0,Daily Organic impressions,91,29,Tuesday,53,December,2020
363,2020-12-29,Daily Paid Reach,0,Daily Paid Impressions,0,29,Tuesday,53,December,2020
364,2020-12-30,Daily Organic Reach,24,Daily Organic impressions,32,30,Wednesday,53,December,2020
365,2020-12-30,Daily Organic Reach,24,Daily Paid Impressions,0,30,Wednesday,53,December,2020
366,2020-12-30,Daily Paid Reach,0,Daily Organic impressions,32,30,Wednesday,53,December,2020
367,2020-12-30,Daily Paid Reach,0,Daily Paid Impressions,0,30,Wednesday,53,December,2020
368,2020-12-31,Daily Organic Reach,18,Daily Organic impressions,23,31,Thursday,53,December,2020
369,2020-12-31,Daily Organic Reach,18,Daily Paid Impressions,0,31,Thursday,53,December,2020
370,2020-12-31,Daily Paid Reach,0,Daily Organic impressions,23,31,Thursday,53,December,2020
371,2020-12-31,Daily Paid Reach,0,Daily Paid Impressions,0,31,Thursday,53,December,2020
372,2021-01-01,Daily Organic Reach,26,Daily Organic impressions,29,1,Friday,53,January,2021
373,2021-01-01,Daily Organic Reach,26,Daily Paid Impressions,0,1,Friday,53,January,2021
374,2021-01-01,Daily Paid Reach,0,Daily Organic impressions,29,1,Friday,53,January,2021
375,2021-01-01,Daily Paid Reach,0,Daily Paid Impressions,0,1,Friday,53,January,2021
376,2021-01-02,Daily Organic Reach,29,Daily Organic impressions,44,2,Saturday,53,January,2021
377,2021-01-02,Daily Organic Reach,29,Daily Paid Impressions,0,2,Saturday,53,January,2021
378,2021-01-02,Daily Paid Reach,0,Daily Organic impressions,44,2,Saturday,53,January,2021
379,2021-01-02,Daily Paid Reach,0,Daily Paid Impressions,0,2,Saturday,53,January,2021
380,2021-01-03,Daily Organic Reach,315,Daily Organic impressions,517,3,Sunday,53,January,2021
381,2021-01-03,Daily Organic Reach,315,Daily Paid Impressions,0,3,Sunday,53,January,2021
382,2021-01-03,Daily Paid Reach,0,Daily Organic impressions,517,3,Sunday,53,January,2021
383,2021-01-03,Daily Paid Reach,0,Daily Paid Impressions,0,3,Sunday,53,January,2021
384,2021-01-04,Daily Organic Reach,93,Daily Organic impressions,164,4,Monday,1,January,2021
385,2021-01-04,Daily Organic Reach,93,Daily Paid Impressions,0,4,Monday,1,January,2021
386,2021-01-04,Daily Paid Reach,0,Daily Organic impressions,164,4,Monday,1,January,2021
387,2021-01-04,Daily Paid Reach,0,Daily Paid Impressions,0,4,Monday,1,January,2021
388,2021-01-05,Daily Organic Reach,210,Daily Organic impressions,229,5,Tuesday,1,January,2021
389,2021-01-05,Daily Organic Reach,210,Daily Paid Impressions,0,5,Tuesday,1,January,2021
390,2021-01-05,Daily Paid Reach,0,Daily Organic impressions,229,5,Tuesday,1,January,2021
391,2021-01-05,Daily Paid Reach,0,Daily Paid Impressions,0,5,Tuesday,1,January,2021
392,2021-01-06,Daily Organic Reach,68,Daily Organic impressions,201,6,Wednesday,1,January,2021
393,2021-01-06,Daily Organic Reach,68,Daily Paid Impressions,0,6,Wednesday,1,January,2021
394,2021-01-06,Daily Paid Reach,0,Daily Organic impressions,201,6,Wednesday,1,January,2021
395,2021-01-06,Daily Paid Reach,0,Daily Paid Impressions,0,6,Wednesday,1,January,2021
396,2021-01-07,Daily Organic Reach,36,Daily Organic impressions,50,7,Thursday,1,January,2021
397,2021-01-07,Daily Organic Reach,36,Daily Paid Impressions,0,7,Thursday,1,January,2021
398,2021-01-07,Daily Paid Reach,0,Daily Organic impressions,50,7,Thursday,1,January,2021
399,2021-01-07,Daily Paid Reach,0,Daily Paid Impressions,0,7,Thursday,1,January,2021
400,2021-01-08,Daily Organic Reach,343,Daily Organic impressions,380,8,Friday,1,January,2021
401,2021-01-08,Daily Organic Reach,343,Daily Paid Impressions,0,8,Friday,1,January,2021
402,2021-01-08,Daily Paid Reach,0,Daily Organic impressions,380,8,Friday,1,January,2021
403,2021-01-08,Daily Paid Reach,0,Daily Paid Impressions,0,8,Friday,1,January,2021
404,2021-01-09,Daily Organic Reach,84,Daily Organic impressions,93,9,Saturday,1,January,2021
405,2021-01-09,Daily Organic Reach,84,Daily Paid Impressions,0,9,Saturday,1,January,2021
406,2021-01-09,Daily Paid Reach,0,Daily Organic impressions,93,9,Saturday,1,January,2021
407,2021-01-09,Daily Paid Reach,0,Daily Paid Impressions,0,9,Saturday,1,January,2021
408,2021-01-10,Daily Organic Reach,54,Daily Organic impressions,93,10,Sunday,1,January,2021
409,2021-01-10,Daily Organic Reach,54,Daily Paid Impressions,0,10,Sunday,1,January,2021
410,2021-01-10,Daily Paid Reach,0,Daily Organic impressions,93,10,Sunday,1,January,2021
411,2021-01-10,Daily Paid Reach,0,Daily Paid Impressions,0,10,Sunday,1,January,2021
412,2021-01-11,Daily Organic Reach,91,Daily Organic impressions,162,11,Monday,2,January,2021
413,2021-01-11,Daily Organic Reach,91,Daily Paid Impressions,0,11,Monday,2,January,2021
414,2021-01-11,Daily Paid Reach,0,Daily Organic impressions,162,11,Monday,2,January,2021
415,2021-01-11,Daily Paid Reach,0,Daily Paid Impressions,0,11,Monday,2,January,2021
416,2021-01-12,Daily Organic Reach,99,Daily Organic impressions,182,12,Tuesday,2,January,2021
417,2021-01-12,Daily Organic Reach,99,Daily Paid Impressions,0,12,Tuesday,2,January,2021
418,2021-01-12,Daily Paid Reach,0,Daily Organic impressions,182,12,Tuesday,2,January,2021
419,2021-01-12,Daily Paid Reach,0,Daily Paid Impressions,0,12,Tuesday,2,January,2021
420,2021-01-13,Daily Organic Reach,557,Daily Organic impressions,965,13,Wednesday,2,January,2021
421,2021-01-13,Daily Organic Reach,557,Daily Paid Impressions,0,13,Wednesday,2,January,2021
422,2021-01-13,Daily Paid Reach,0,Daily Organic impressions,965,13,Wednesday,2,January,2021
423,2021-01-13,Daily Paid Reach,0,Daily Paid Impressions,0,13,Wednesday,2,January,2021
424,2021-01-14,Daily Organic Reach,217,Daily Organic impressions,419,14,Thursday,2,January,2021
425,2021-01-14,Daily Organic Reach,217,Daily Paid Impressions,0,14,Thursday,2,January,2021
426,2021-01-14,Daily Paid Reach,0,Daily Organic impressions,419,14,Thursday,2,January,2021
427,2021-01-14,Daily Paid Reach,0,Daily Paid Impressions,0,14,Thursday,2,January,2021
428,2021-01-15,Daily Organic Reach,341,Daily Organic impressions,403,15,Friday,2,January,2021
429,2021-01-15,Daily Organic Reach,341,Daily Paid Impressions,0,15,Friday,2,January,2021
430,2021-01-15,Daily Paid Reach,0,Daily Organic impressions,403,15,Friday,2,January,2021
431,2021-01-15,Daily Paid Reach,0,Daily Paid Impressions,0,15,Friday,2,January,2021
432,2021-01-16,Daily Organic Reach,118,Daily Organic impressions,185,16,Saturday,2,January,2021
433,2021-01-16,Daily Organic Reach,118,Daily Paid Impressions,0,16,Saturday,2,January,2021
434,2021-01-16,Daily Paid Reach,0,Daily Organic impressions,185,16,Saturday,2,January,2021
435,2021-01-16,Daily Paid Reach,0,Daily Paid Impressions,0,16,Saturday,2,January,2021
436,2021-01-17,Daily Organic Reach,80,Daily Organic impressions,94,17,Sunday,2,January,2021
437,2021-01-17,Daily Organic Reach,80,Daily Paid Impressions,0,17,Sunday,2,January,2021
438,2021-01-17,Daily Paid Reach,0,Daily Organic impressions,94,17,Sunday,2,January,2021
439,2021-01-17,Daily Paid Reach,0,Daily Paid Impressions,0,17,Sunday,2,January,2021
440,2021-01-18,Daily Organic Reach,317,Daily Organic impressions,434,18,Monday,3,January,2021
441,2021-01-18,Daily Organic Reach,317,Daily Paid Impressions,0,18,Monday,3,January,2021
442,2021-01-18,Daily Paid Reach,0,Daily Organic impressions,434,18,Monday,3,January,2021
443,2021-01-18,Daily Paid Reach,0,Daily Paid Impressions,0,18,Monday,3,January,2021
444,2021-01-19,Daily Organic Reach,308,Daily Organic impressions,331,19,Tuesday,3,January,2021
445,2021-01-19,Daily Organic Reach,308,Daily Paid Impressions,0,19,Tuesday,3,January,2021
446,2021-01-19,Daily Paid Reach,0,Daily Organic impressions,331,19,Tuesday,3,January,2021
447,2021-01-19,Daily Paid Reach,0,Daily Paid Impressions,0,19,Tuesday,3,January,2021
448,2021-01-20,Daily Organic Reach,252,Daily Organic impressions,332,20,Wednesday,3,January,2021
449,2021-01-20,Daily Organic Reach,252,Daily Paid Impressions,0,20,Wednesday,3,January,2021
450,2021-01-20,Daily Paid Reach,0,Daily Organic impressions,332,20,Wednesday,3,January,2021
451,2021-01-20,Daily Paid Reach,0,Daily Paid Impressions,0,20,Wednesday,3,January,2021
452,2021-01-21,Daily Organic Reach,122,Daily Organic impressions,232,21,Thursday,3,January,2021
453,2021-01-21,Daily Organic Reach,122,Daily Paid Impressions,0,21,Thursday,3,January,2021
454,2021-01-21,Daily Paid Reach,0,Daily Organic impressions,232,21,Thursday,3,January,2021
455,2021-01-21,Daily Paid Reach,0,Daily Paid Impressions,0,21,Thursday,3,January,2021
456,2021-01-22,Daily Organic Reach,434,Daily Organic impressions,522,22,Friday,3,January,2021
457,2021-01-22,Daily Organic Reach,434,Daily Paid Impressions,0,22,Friday,3,January,2021
458,2021-01-22,Daily Paid Reach,0,Daily Organic impressions,522,22,Friday,3,January,2021
459,2021-01-22,Daily Paid Reach,0,Daily Paid Impressions,0,22,Friday,3,January,2021
460,2021-01-23,Daily Organic Reach,113,Daily Organic impressions,155,23,Saturday,3,January,2021
461,2021-01-23,Daily Organic Reach,113,Daily Paid Impressions,0,23,Saturday,3,January,2021
462,2021-01-23,Daily Paid Reach,0,Daily Organic impressions,155,23,Saturday,3,January,2021
463,2021-01-23,Daily Paid Reach,0,Daily Paid Impressions,0,23,Saturday,3,January,2021
464,2021-01-24,Daily Organic Reach,67,Daily Organic impressions,105,24,Sunday,3,January,2021
465,2021-01-24,Daily Organic Reach,67,Daily Paid Impressions,0,24,Sunday,3,January,2021
466,2021-01-24,Daily Paid Reach,0,Daily Organic impressions,105,24,Sunday,3,January,2021
467,2021-01-24,Daily Paid Reach,0,Daily Paid Impressions,0,24,Sunday,3,January,2021
468,2021-01-25,Daily Organic Reach,490,Daily Organic impressions,650,25,Monday,4,January,2021
469,2021-01-25,Daily Organic Reach,490,Daily Paid Impressions,0,25,Monday,4,January,2021
470,2021-01-25,Daily Paid Reach,0,Daily Organic impressions,650,25,Monday,4,January,2021
471,2021-01-25,Daily Paid Reach,0,Daily Paid Impressions,0,25,Monday,4,January,2021
472,2021-01-26,Daily Organic Reach,571,Daily Organic impressions,843,26,Tuesday,4,January,2021
473,2021-01-26,Daily Organic Reach,571,Daily Paid Impressions,0,26,Tuesday,4,January,2021
474,2021-01-26,Daily Paid Reach,0,Daily Organic impressions,843,26,Tuesday,4,January,2021
475,2021-01-26,Daily Paid Reach,0,Daily Paid Impressions,0,26,Tuesday,4,January,2021
476,2021-01-27,Daily Organic Reach,440,Daily Organic impressions,569,27,Wednesday,4,January,2021
477,2021-01-27,Daily Organic Reach,440,Daily Paid Impressions,0,27,Wednesday,4,January,2021
478,2021-01-27,Daily Paid Reach,0,Daily Organic impressions,569,27,Wednesday,4,January,2021
479,2021-01-27,Daily Paid Reach,0,Daily Paid Impressions,0,27,Wednesday,4,January,2021
480,2021-01-28,Daily Organic Reach,385,Daily Organic impressions,502,28,Thursday,4,January,2021
481,2021-01-28,Daily Organic Reach,385,Daily Paid Impressions,0,28,Thursday,4,January,2021
482,2021-01-28,Daily Paid Reach,0,Daily Organic impressions,502,28,Thursday,4,January,2021
483,2021-01-28,Daily Paid Reach,0,Daily Paid Impressions,0,28,Thursday,4,January,2021
484,2021-01-29,Daily Organic Reach,72,Daily Organic impressions,87,29,Friday,4,January,2021
485,2021-01-29,Daily Organic Reach,72,Daily Paid Impressions,0,29,Friday,4,January,2021
486,2021-01-29,Daily Paid Reach,0,Daily Organic impressions,87,29,Friday,4,January,2021
487,2021-01-29,Daily Paid Reach,0,Daily Paid Impressions,0,29,Friday,4,January,2021
488,2021-01-30,Daily Organic Reach,73,Daily Organic impressions,104,30,Saturday,4,January,2021
489,2021-01-30,Daily Organic Reach,73,Daily Paid Impressions,0,30,Saturday,4,January,2021
490,2021-01-30,Daily Paid Reach,0,Daily Organic impressions,104,30,Saturday,4,January,2021
491,2021-01-30,Daily Paid Reach,0,Daily Paid Impressions,0,30,Saturday,4,January,2021
492,2021-01-31,Daily Organic Reach,39,Daily Organic impressions,71,31,Sunday,4,January,2021
493,2021-01-31,Daily Organic Reach,39,Daily Paid Impressions,0,31,Sunday,4,January,2021
494,2021-01-31,Daily Paid Reach,0,Daily Organic impressions,71,31,Sunday,4,January,2021
495,2021-01-31,Daily Paid Reach,0,Daily Paid Impressions,0,31,Sunday,4,January,2021
496,2021-02-01,Daily Organic Reach,349,Daily Organic impressions,387,1,Monday,5,February,2021
497,2021-02-01,Daily Organic Reach,349,Daily Paid Impressions,0,1,Monday,5,February,2021
498,2021-02-01,Daily Paid Reach,0,Daily Organic impressions,387,1,Monday,5,February,2021
499,2021-02-01,Daily Paid Reach,0,Daily Paid Impressions,0,1,Monday,5,February,2021
500,2021-02-02,Daily Organic Reach,80,Daily Organic impressions,114,2,Tuesday,5,February,2021
501,2021-02-02,Daily Organic Reach,80,Daily Paid Impressions,0,2,Tuesday,5,February,2021
502,2021-02-02,Daily Paid Reach,0,Daily Organic impressions,114,2,Tuesday,5,February,2021
503,2021-02-02,Daily Paid Reach,0,Daily Paid Impressions,0,2,Tuesday,5,February,2021
504,2021-02-03,Daily Organic Reach,148,Daily Organic impressions,244,3,Wednesday,5,February,2021
505,2021-02-03,Daily Organic Reach,148,Daily Paid Impressions,0,3,Wednesday,5,February,2021
506,2021-02-03,Daily Paid Reach,0,Daily Organic impressions,244,3,Wednesday,5,February,2021
507,2021-02-03,Daily Paid Reach,0,Daily Paid Impressions,0,3,Wednesday,5,February,2021
508,2021-02-04,Daily Organic Reach,46,Daily Organic impressions,51,4,Thursday,5,February,2021
509,2021-02-04,Daily Organic Reach,46,Daily Paid Impressions,0,4,Thursday,5,February,2021
510,2021-02-04,Daily Paid Reach,0,Daily Organic impressions,51,4,Thursday,5,February,2021
511,2021-02-04,Daily Paid Reach,0,Daily Paid Impressions,0,4,Thursday,5,February,2021
512,2021-02-05,Daily Organic Reach,21,Daily Organic impressions,27,5,Friday,5,February,2021
513,2021-02-05,Daily Organic Reach,21,Daily Paid Impressions,0,5,Friday,5,February,2021
514,2021-02-05,Daily Paid Reach,0,Daily Organic impressions,27,5,Friday,5,February,2021
515,2021-02-05,Daily Paid Reach,0,Daily Paid Impressions,0,5,Friday,5,February,2021
516,2021-02-06,Daily Organic Reach,24,Daily Organic impressions,177,6,Saturday,5,February,2021
517,2021-02-06,Daily Organic Reach,24,Daily Paid Impressions,0,6,Saturday,5,February,2021
518,2021-02-06,Daily Paid Reach,0,Daily Organic impressions,177,6,Saturday,5,February,2021
519,2021-02-06,Daily Paid Reach,0,Daily Paid Impressions,0,6,Saturday,5,February,2021
520,2021-02-07,Daily Organic Reach,16,Daily Organic impressions,39,7,Sunday,5,February,2021
521,2021-02-07,Daily Organic Reach,16,Daily Paid Impressions,0,7,Sunday,5,February,2021
522,2021-02-07,Daily Paid Reach,0,Daily Organic impressions,39,7,Sunday,5,February,2021
523,2021-02-07,Daily Paid Reach,0,Daily Paid Impressions,0,7,Sunday,5,February,2021
524,2021-02-08,Daily Organic Reach,18,Daily Organic impressions,37,8,Monday,6,February,2021
525,2021-02-08,Daily Organic Reach,18,Daily Paid Impressions,0,8,Monday,6,February,2021
526,2021-02-08,Daily Paid Reach,0,Daily Organic impressions,37,8,Monday,6,February,2021
527,2021-02-08,Daily Paid Reach,0,Daily Paid Impressions,0,8,Monday,6,February,2021
528,2021-02-09,Daily Organic Reach,327,Daily Organic impressions,409,9,Tuesday,6,February,2021
529,2021-02-09,Daily Organic Reach,327,Daily Paid Impressions,0,9,Tuesday,6,February,2021
530,2021-02-09,Daily Paid Reach,0,Daily Organic impressions,409,9,Tuesday,6,February,2021
531,2021-02-09,Daily Paid Reach,0,Daily Paid Impressions,0,9,Tuesday,6,February,2021
532,2021-02-10,Daily Organic Reach,62,Daily Organic impressions,74,10,Wednesday,6,February,2021
533,2021-02-10,Daily Organic Reach,62,Daily Paid Impressions,0,10,Wednesday,6,February,2021
534,2021-02-10,Daily Paid Reach,0,Daily Organic impressions,74,10,Wednesday,6,February,2021
535,2021-02-10,Daily Paid Reach,0,Daily Paid Impressions,0,10,Wednesday,6,February,2021
536,2021-02-11,Daily Organic Reach,397,Daily Organic impressions,431,11,Thursday,6,February,2021
537,2021-02-11,Daily Organic Reach,397,Daily Paid Impressions,0,11,Thursday,6,February,2021
538,2021-02-11,Daily Paid Reach,0,Daily Organic impressions,431,11,Thursday,6,February,2021
539,2021-02-11,Daily Paid Reach,0,Daily Paid Impressions,0,11,Thursday,6,February,2021
540,2021-02-12,Daily Organic Reach,407,Daily Organic impressions,459,12,Friday,6,February,2021
541,2021-02-12,Daily Organic Reach,407,Daily Paid Impressions,0,12,Friday,6,February,2021
542,2021-02-12,Daily Paid Reach,0,Daily Organic impressions,459,12,Friday,6,February,2021
543,2021-02-12,Daily Paid Reach,0,Daily Paid Impressions,0,12,Friday,6,February,2021
544,2021-02-13,Daily Organic Reach,108,Daily Organic impressions,123,13,Saturday,6,February,2021
545,2021-02-13,Daily Organic Reach,108,Daily Paid Impressions,0,13,Saturday,6,February,2021
546,2021-02-13,Daily Paid Reach,0,Daily Organic impressions,123,13,Saturday,6,February,2021
547,2021-02-13,Daily Paid Reach,0,Daily Paid Impressions,0,13,Saturday,6,February,2021
548,2021-02-14,Daily Organic Reach,46,Daily Organic impressions,68,14,Sunday,6,February,2021
549,2021-02-14,Daily Organic Reach,46,Daily Paid Impressions,0,14,Sunday,6,February,2021
550,2021-02-14,Daily Paid Reach,0,Daily Organic impressions,68,14,Sunday,6,February,2021
551,2021-02-14,Daily Paid Reach,0,Daily Paid Impressions,0,14,Sunday,6,February,2021
552,2021-02-15,Daily Organic Reach,40,Daily Organic impressions,93,15,Monday,7,February,2021
553,2021-02-15,Daily Organic Reach,40,Daily Paid Impressions,0,15,Monday,7,February,2021
554,2021-02-15,Daily Paid Reach,0,Daily Organic impressions,93,15,Monday,7,February,2021
555,2021-02-15,Daily Paid Reach,0,Daily Paid Impressions,0,15,Monday,7,February,2021
556,2021-02-16,Daily Organic Reach,23,Daily Organic impressions,30,16,Tuesday,7,February,2021
557,2021-02-16,Daily Organic Reach,23,Daily Paid Impressions,0,16,Tuesday,7,February,2021
558,2021-02-16,Daily Paid Reach,0,Daily Organic impressions,30,16,Tuesday,7,February,2021
559,2021-02-16,Daily Paid Reach,0,Daily Paid Impressions,0,16,Tuesday,7,February,2021
560,2021-02-17,Daily Organic Reach,19,Daily Organic impressions,21,17,Wednesday,7,February,2021
561,2021-02-17,Daily Organic Reach,19,Daily Paid Impressions,0,17,Wednesday,7,February,2021
562,2021-02-17,Daily Paid Reach,0,Daily Organic impressions,21,17,Wednesday,7,February,2021
563,2021-02-17,Daily Paid Reach,0,Daily Paid Impressions,0,17,Wednesday,7,February,2021
564,2021-02-18,Daily Organic Reach,29,Daily Organic impressions,32,18,Thursday,7,February,2021
565,2021-02-18,Daily Organic Reach,29,Daily Paid Impressions,0,18,Thursday,7,February,2021
566,2021-02-18,Daily Paid Reach,0,Daily Organic impressions,32,18,Thursday,7,February,2021
567,2021-02-18,Daily Paid Reach,0,Daily Paid Impressions,0,18,Thursday,7,February,2021
568,2021-02-19,Daily Organic Reach,299,Daily Organic impressions,328,19,Friday,7,February,2021
569,2021-02-19,Daily Organic Reach,299,Daily Paid Impressions,0,19,Friday,7,February,2021
570,2021-02-19,Daily Paid Reach,0,Daily Organic impressions,328,19,Friday,7,February,2021
571,2021-02-19,Daily Paid Reach,0,Daily Paid Impressions,0,19,Friday,7,February,2021
572,2021-02-20,Daily Organic Reach,55,Daily Organic impressions,59,20,Saturday,7,February,2021
573,2021-02-20,Daily Organic Reach,55,Daily Paid Impressions,0,20,Saturday,7,February,2021
574,2021-02-20,Daily Paid Reach,0,Daily Organic impressions,59,20,Saturday,7,February,2021
575,2021-02-20,Daily Paid Reach,0,Daily Paid Impressions,0,20,Saturday,7,February,2021
576,2021-02-21,Daily Organic Reach,34,Daily Organic impressions,48,21,Sunday,7,February,2021
577,2021-02-21,Daily Organic Reach,34,Daily Paid Impressions,0,21,Sunday,7,February,2021
578,2021-02-21,Daily Paid Reach,0,Daily Organic impressions,48,21,Sunday,7,February,2021
