Date,Page Likes,Amount,Lifetime Total Likes
2020-11-04,Daily Unlikes,0,1038
2020-11-03,Daily Unlikes,-1,1033
2020-11-02,Daily Unlikes,0,1031
2020-11-01,Daily Unlikes,0,1029
2020-10-31,Daily Unlikes,0,1020
2020-10-30,Daily Unlikes,0,1019
2020-10-29,Daily Unlikes,0,1015
2020-10-28,Daily Unlikes,-1,1012
2020-10-27,Daily Unlikes,0,1009
2020-10-26,Daily Unlikes,0,1009
2020-10-25,Daily Unlikes,0,1008
2020-10-24,Daily Unlikes,-1,1007
2020-10-23,Daily Unlikes,0,1005
2020-10-22,Daily Unlikes,0,1003
2020-10-21,Daily Unlikes,0,1002
2020-10-20,Daily Unlikes,0,1002
2020-10-19,Daily Unlikes,0,1002
2020-10-18,Daily Unlikes,0,1002
2020-10-17,Daily Unlikes,-1,1000
2020-10-16,Daily Unlikes,0,1000
2020-10-15,Daily Unlikes,0,999
2020-10-14,Daily Unlikes,0,999
2020-10-13,Daily Unlikes,-2,997
2020-10-12,Daily Unlikes,0,999
2020-10-11,Daily Unlikes,0,997
2020-10-10,Daily Unlikes,0,996
2020-10-09,Daily Unlikes,0,995
2020-10-08,Daily Unlikes,0,994
2020-10-07,Daily Unlikes,-1,992
2020-10-06,Daily Unlikes,0,993
2020-10-05,Daily Unlikes,0,990
2020-10-04,Daily Unlikes,0,989
2020-10-03,Daily Unlikes,-4,989
2020-10-02,Daily Unlikes,-4,992
2020-10-01,Daily Unlikes,0,993
2020-09-30,Daily Unlikes,-1,992
